lemma_id,lemma,sense_num,type,ipa,pos,gender,entry,entry_str,gloss
16178,ljúga,X.2,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>to treat falsely</i>; Brandr mun eigi ~ stefnuna, <i>B. will not fail to come</i>; lýgr skjöldrinn nú at mér, <i>now the shield proves false to me, fails me</i>;</div>","to treat falsely; Brandr mun eigi ~ stefnuna, B. will not fail to come; lýgr skjöldrinn nú at mér, now the shield proves false to me, fails me;",\N
16178,ljúga,X.3,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><span class=""p"">refl.</span>, ~st, <i>to fail, prove false or untrue</i> (hefir yðr þat sjaldan logizt, er ek sagða).</div>","refl., ~st, to fail, prove false or untrue (hefir yðr þat sjaldan logizt, er ek sagða).",\N
16179,ljúgeiðr,\N,main,[ljuːɣɛiðr],n.,m.,"<div class=""oldnorse bodytext""><i>false oath, perjury</i>.</div>","false oath, perjury.","false oath, perjury"
16180,ljúgfróðr,\N,main,[ljuːɣvroːðr],adj.,\N,"<div class=""oldnorse bodytext""><i>untruthful</i>.</div>",untruthful.,untruthful
16181,ljúggögn,\N,main,[ljuːgːœɣn],n.,n.,"<div class=""oldnorse bodytext""><span class=""p"">pl.</span><i>false evidences</i>.</div>",pl. false evidences.,false evidences
16182,ljúgheitr,\N,main,[ljuːɣhɛitr],adj.,\N,"<div class=""oldnorse bodytext""><i>false to one’s word</i> (cf. <span class=""ref"">ú~</span>).</div>",false to one’s word (cf. ú~).,false to one’s word
16183,ljúgkviðr,\N,main,[ljuːɣkviðr],n.,m.,"<div class=""oldnorse bodytext""><i>false verdict</i>.</div>",false verdict.,false verdict
16184,ljúgspár,\N,main,[ljuːɣspaːr],adj.,\N,"<div class=""oldnorse bodytext""><i>prophesying falsely</i>.</div>",prophesying falsely.,prophesying falsely
16185,ljúgvitni,\N,main,[ljuːɣvitni],\N,\N,\N,\N,\N
16186,ljúgvætti,\N,main,[ljuːɣvɛːtːi],n.,n.,"<div class=""oldnorse bodytext""><i>false witness, perjury</i>.</div>","false witness, perjury.","false witness, perjury"
16187,ljúgyrði,\N,main,[ljuːɣyrði],n.,n.,"<div class=""oldnorse bodytext""><i>falsehood</i>.</div>",falsehood.,falsehood
16188,ljúka,\N,main,[ljuːka],v.,\N,"<div class=""oldnorse bodytext"">see<span class=""ref"">lúka</span>.</div>",see lúka.,see lúka.
16189,loða,\N,main,[lɔða],v.,\N,"<div class=""oldnorse bodytext"">(loði, lodda, loðat), <i>to cleave to, stick, hang on</i> (haf þú þat silfr, er í hárinu loðir); Hrútr hjó á fót Þjóstólfi svá at lítlu loddi við, <i>so that it hung by a shred</i>; hón loddi á hringinum eptir magni, <i>she kept as firm hold as she could of the ring</i>.</div>","(loði, lodda, loðat), to cleave to, stick, hang on (haf þú þat silfr, er í hárinu loðir); Hrútr hjó á fót Þjóstólfi svá at lítlu loddi við, so that it hung by a shred; hón loddi á hringinum eptir magni, she kept as firm hold as she could of the ring.","to cleave to, stick, hang on"
16190,loðbrœkr,\N,main,[lɔðbrœːkr],n.,f.,"<div class=""oldnorse bodytext""><span class=""p"">pl.</span><i>shaggy breeks</i>.</div>",pl. shaggy breeks.,shaggy breeks
16191,loddari,\N,main,[lɔdːari],n.,m.,"<div class=""oldnorse bodytext""><i>juggler, jester</i>.</div>","juggler, jester.","juggler, jester"
16192,loði,\N,main,[lɔði],n.,m.,"<div class=""oldnorse bodytext""><i>fur cloak</i>.</div>",fur cloak.,fur cloak
16193,loðinhöfði,\N,main,[lɔðinhœvði],n.,m.,"<div class=""oldnorse bodytext""><i>shaggy head</i>.</div>",shaggy head.,shaggy head
