lemma_id,lemma,sense_id,sense_entry,proposed_resolved_meaning
106238,praseka (प्रसेक),44908,"(-tā (-ता) f. id., ŚārṅgS.)","flowing forth, dropping, oozing, effusion, MBh.; Kāv.; Suśr."
108142,priya (प्रिय),45696,"fond of attached or devoted to (loc.), RV. (id. in comp., either ibc., e.g. priya-devana (प्रिय-देवन), ‘fond of playing’, or ifc., e.g. akṣa-priya (अक्ष-प्रिय), ‘fond of dice’, cf. Pāṇ. ii, 2, 35, Vārtt. 2; ifc. also = pleasant, agreeable, e.g. gamana-priya (गमन-प्रिय), ‘pleasant to go’, vi, 2, 15Sch.)","mf(ā (आ))n. beloved, dear to (gen. loc. dat. or comp.), liked, favourite, wanted, own, RV. &amp;c. &amp;c. (with abl. ‘dearer than’, R.; Kathās.; Pañcat.; priyaṃ-√ kṛ (प्रियं-√ कृ) Ā. kurute (कुरुते), either ‘to gain the affection of, win as a friend’, RV.; or ‘to feel affection for,"
108613,preṅkha (प्रेङ्ख),45852,"pre (प्रे)NKa/   mfn. a swing, a sort of hammock or swinging-cot, Br.; ŚrS.; BhP.; Suśr. (m. du. the two posts between which a swing moves, Āpast.; id. [with nakulasya vāma-devasya (नकुलस्य वाम-देवस्य)] and sg. [with marutām (मरुताम्)] N. of śāman (श्āमन्)s, ĀrṣBr.; °kha-phalaka (°ख-फलक) n. the board or seat in a swing, ŚāṅkhŚr.; °khe (°खे)NKana n. swinging, BhP.)","NKa/   mfn. trembling, rocking, swaying, pitching, RV.; AV."
116975,bhūruha (भूरुह),48973,"bhū—ruha (भू—रुह)   m. id., Suśr.; BhP.","‘earth-grower’, a plant, tree, Prab.; Caṇḍ. &amp;c."
119269,maṇḍaka (मण्डक),49958,"a partic. musical air, Saṃgīt. (cf. id.)","(ifc., with f(ikā (इका)). ), rice-gruel, Hariv."
128811,mṛṇālikā (मृणालिका),53718,"mṛṇālikā (मृणालिका)   f. id., Ratnāv.","a lotus-root or fibre, Ratnāv."
131351,yadi (यदि),54506,"yadi vā (यदि वा) id. or = ‘yet’, ‘however’.","(in Veda (Vएद) also yadī́ (यदी), sometimes yadi cit (यदि चित्), yadi ha vai (यदि ह वै), yadī́ (यदी)t, yady ú (यद्य् उ), yady u vai (यद्य् उ वै)) if, in case that, RV. &amp;c. &amp;c. In the earlier language yadi (यदि) may be joined with Indic. Subj. or ḻeṭ (ळेṭ) Pot., or Fut., th"
132230,yātanā (यातना),54834,"yātanā (यातना)   f. id. (°nāṃ-√ dā (°नां-√ दा), to make requital, revenge; vaira-y° (वैर-य्°), vengeance; cf. above), MBh.; Hariv.; Pañcat.","requital, retaliation, return (°nāṃ-√ dā (°नां-√ दा), to make requital, revenge; vaira-y° (वैर-य्°), vengeance; cf. above), MBh.; Hariv.; Pañcat."
132265,yādas (यादस्),54839,"any large aquatic animal, sea monster, MBh.; Kāv. &amp;c. (°sāṃ nāthaḥ (°सां नाथः), ‘lord of aq° an°’, N. of Varuṇa (Vअरुṇअ), L.; °sāṃ prabhuḥ (°सां प्रभुः) id., Rājat.; °sām patiḥ (°साम् पतिः) id. or ‘the sea’, L.)","‘close union (?)’, voluptuousness, VS.; TBr."
143784,vara (वर),59529,"vará (वर)   m. boon, gift, reward, benefit, blessing, favour (varā́ya (वराय), varám ā (वरम् आ), pratí varam (प्रति वरम्) or varáṃ varam (वरं वरम्), ‘according to wish, to one's heart's content’; mad-varāt (मद्-वरात्), ‘in consequence of the boon granted by me’; varáṃ-√ vṛ (वरं-√ वृ), ‘to choose a boon’; varaṃ-√ yāc (वरं-√ याच्) or ā-√ kāṅkṣ (आ-√ काङ्क्ष्) or √ brū (ब्रू) or Caus. of pra-√ arth (प्र-√ अर्थ्), ‘to prefer a request’; varáṃ√ dā (वरं√ दा), ‘to grant a boon or blessing’; varam pra-√ dā (वरम् प्र-√ दा) or pra-√ yam (प्र-√ यम्) id.; varaṃ-√ labh (वरं-√ लभ्), ‘to receive a boon or reward’), RV. &amp;c. &amp;c.","(rarely n.; ifc. f(ā (आ)). ) ‘act or object of choosing’, election, wish, request"
146006,vākpatha (वाक्पथ),60537,"the compass or range of sp° (vā (वा)k-paTa-pAram avApita, passed beyond the range of speech indescribable; atī (अती)ta-v° id.), Śiś.; Naiṣ.","suitable or seasonable for discourse, W."
147057,vāyudatteya (वायुदत्तेय),61009,"vāyu—datteya (वायु—दत्तेय)   m. patr. (fr. id.), g., śubhrā (शुभ्रा)di.",(fr. -datta (-दत्त)) g. sakhy-ādi (सख्य्-आदि)
147776,vāśa (वाश),61300,"id. (only ā (आ) and ī (ई) f. pl. applied to water), VS.; TS.","1. vāśa (वाश)   mfn. roaring, sounding, RV. viii, 19, 31"
150199,vitīrṇa (वितीर्ण),62483,effaced id.,one who has penetrated beyond or crossed or passed or gone over or through &amp;c.
153056,vilamba (विलम्ब),63911,"slowness, tardiness, delay, procrastination (āt (आत्), ‘with delay’, ‘late’; ena (एन) id., ‘too late’; ibc. ‘slowly’), Kāv.; Rājat. &amp;c.","hanging down, pendulous (as arms), R."
155127,viṣkambhaka (विष्कम्भक),64775,"a partic. astron. ñoga (ञोग) (= id.), W.","propping, supporting, KātyŚr., Sch."
158351,veṣa (वेष),66011,"dress, apparel, ornament, artificial exterior, assumed appearance (often also = look, exterior, appearance in general), Mn.; MBh. &amp;c. (acc. with √ kṛ (कृ) or ā-√ sthā (आ-√ स्था), ‘to assume a dress’, with √ gam (गम्) or vi-√ dhā (वि-√ धा), ‘to assume an appearance’; with ā-cchādya (आ-च्छाद्य), ‘concealing one's appearance’, ‘disguising one's self’; pracchanna-veṣeṇa (प्रच्छन्न-वेषेण) id.)","(ifc. f(ā (आ) or ī (ई)).  cf. bhūta-veṣī (भूत-वेषी); fr. √ viṣ (विष्)) work, activity, management, VS.; Kauś.; KātyŚr."
158841,vaidyuta (वैद्युत),66265,"flashing, brilliant (with śikhin (शिखिन्) m. the fire of lightning, Vcar.; °ta-kṛśānu (°त-कृशानु) m. id., ib.), VS. &amp;c. &amp;c.","(fr. vidyut (विद्युत्)) belonging to, or proceeding from lightning"
