lemma_id,lang,lemma,sense_num,type,orthography,ipa,pos,gender,etymology,entry,entry_str,gloss
716,OIr.,crud,\N,main,\N,/ˈkɾuð/,n.,\N,\N,"<div class=""oldirish bodytext"">alternative form of cruth</div>",alternative form of cruth,alternative form of cruth
717,OIr.,crie,\N,main,·crie,/ˈkʲɾʲi.e/,v.,\N,\N,"<div class=""oldirish bodytext"">second-person singular present subjunctive conjunct of crenaid</div>",second-person singular present subjunctive conjunct of crenaid,second-person singular present subjunctive conjunct of crenaid
718,OIr.,rann,\N,main,rainne,/ˈran̪/,n.,\N,From Proto-Celtic *ɸrasnā.,"<div class=""oldirish bodytext"">part (of a whole)</div>",part (of a whole),part (of a whole)
719,OIr.,rath,\N,main,raith,/ˈraθ/,n.,\N,"From Proto-Celtic *ɸratom (“grace, virtue, good fortune”), from the root of *ɸarnati (“bestow”) (whence ernaid), from Proto-Indo-European *perh₃- (“bestow, give”) (whence also Sanskrit पृणाक्ति (pṛṇā́kti, “grant, bestow”), Latin parō (“prepare”).","<div class=""oldirish bodytext"">verbal noun of ernaid</div>",verbal noun of ernaid,verbal noun of ernaid
719,OIr.,rath,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">grace, virtue</div>","grace, virtue","grace, virtue"
720,OIr.,sain,\N,main,\N,/ˈsanʲ/,adj.,\N,"From Proto-Celtic *sanis (“different”) (whence Welsh hân (“separation”), from Proto-Indo-European *senH-; cognate with Latin sine, Ancient Greek ἄτερ (áter, “without, apart from”), Sanskrit सनितुर् (sanitúr, “without”), Old English sundor (“apart, separately”).","<div class=""oldirish bodytext"">different</div>",different,different
720,OIr.,sain,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">special</div>",special,special
721,OIr.,douc,\N,main,do·uc,/d̪oˈhuɡ/,v.,\N,\N,"<div class=""oldirish bodytext"">third-person singular perfect deuterotonic of do·beir</div>",third-person singular perfect deuterotonic of do·beir,third-person singular perfect deuterotonic of do·beir
722,OIr.,bec,1,main,lugu,/ˈbʲeɡ/,adj.,\N,From Proto-Celtic *biggos (“small”).,"<div class=""oldirish bodytext"">small</div>",small,small
723,OIr.,bec,2,main,\N,/ˈbʲeɡ/,adv.,\N,From Proto-Celtic *biggos (“small”).,"<div class=""oldirish bodytext"">almost (followed by the negative particle nach)</div>",almost (followed by the negative particle nach),almost (followed by the negative particle nach)
724,OIr.,festa,1,main,\N,/ˈɸʲes.t̪a/,adv.,\N,From earlier fecht (“occasion”) + -sa (“this”).,"<div class=""oldirish bodytext"">now, forthwith</div>","now, forthwith","now, forthwith"
724,OIr.,festa,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">henceforth</div>",henceforth,henceforth
725,OIr.,festa,2,main,·festa,/ˈɸʲes.t̪a/,v.,\N,\N,"<div class=""oldirish bodytext"">second-person singular past subjunctive/conditional prototonic of ro·finnadar</div>",second-person singular past subjunctive/conditional prototonic of ro·finnadar,second-person singular past subjunctive/conditional prototonic of ro·finnadar
726,OIr.,damar,\N,main,·damar,\N,v.,\N,\N,"<div class=""oldirish bodytext"">passive singular present indicative conjunct of daimid</div>",passive singular present indicative conjunct of daimid,passive singular present indicative conjunct of daimid
727,OIr.,roba,\N,main,·roba,\N,v.,\N,\N,"<div class=""oldirish bodytext"">first-person singular perfect prototonic of at·tá</div>",first-person singular perfect prototonic of at·tá,first-person singular perfect prototonic of at·tá
728,OIr.,teg,\N,main,tige,/ˈt̠ʲeɣ/,n.,\N,\N,"<div class=""oldirish bodytext"">alternative form of tech</div>",alternative form of tech,alternative form of tech
729,OIr.,-am,\N,main,\N,/əβ̃/,suffix,\N,\N,"<div class=""oldirish bodytext"">broad form of -em</div>",broad form of -em,broad form of -em
730,OIr.,mol,\N,main,muil,\N,n.,\N,"From Proto-Celtic *molos, from Proto-Indo-European *molós, from *melh₂- (“to grind”) + *-ós (agent suffix).","<div class=""oldirish bodytext"">shaft of a mill</div>",shaft of a mill,shaft of a mill
731,OIr.,bér,\N,main,·bér,\N,v.,\N,\N,"<div class=""oldirish bodytext"">first-person singular future conjunct of beirid</div>",first-person singular future conjunct of beirid,first-person singular future conjunct of beirid
732,OIr.,duine,\N,main,duini,/ˈd̪u.nʲe/,n.,\N,"From Proto-Celtic *gdonyos (“human, person”), from Proto-Indo-European *dʰǵʰm̥mō (“earthling, human”), a derivation of *dʰéǵʰōm (“earth”) (whence also dú (“place, spot”)).\nAkin to Breton den (“man”) and Welsh dyn (“man”). For the parallel semantic development of the noun for ""man, human"" from the cognate nominal stem for ""earth"", compare Latin homō (“man, person”), Old Lithuanian žmuõ (“man”) and Gothic 𐌲𐌿𐌼𐌰 (guma).\nThe plural doíni is suppletive, coming from a derivative of Proto-Indo-European *dʰew- (“to die”) generally reconstructed as Proto-Celtic *dowenis.","<div class=""oldirish bodytext"">person, human being</div>","person, human being","person, human being"
733,OIr.,uasal,1,main,\N,\N,adj.,\N,\N,"<div class=""oldirish bodytext"">alternative spelling of úasal</div>",alternative spelling of úasal,alternative spelling of úasal
734,OIr.,uasal,2,main,\N,\N,n.,\N,\N,"<div class=""oldirish bodytext"">alternative spelling of úasal</div>",alternative spelling of úasal,alternative spelling of úasal
735,OIr.,dorn,\N,main,duirn,/ˈd̪orn̪/,n.,\N,"From Proto-Celtic *durnos, further etymology unknown; possibly from a non-Indo-European substrate language. Cognate with Welsh dwrn.","<div class=""oldirish bodytext"">hand, fist</div>","hand, fist","hand, fist"
735,OIr.,dorn,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">handle</div>",handle,handle
736,OIr.,mell,1,main,\N,/ˈmʲel̪/,n.,\N,"From Proto-Celtic *mellos (“destruction, confusion”) (compare Tocharian B mäl- (“to wound, damage”) and possibly Latin malus (“bad”).","<div class=""oldirish bodytext"">(rare, chiefly in glossaries) destruction, confusion</div>","(rare, chiefly in glossaries) destruction, confusion","destruction, confusion"
737,OIr.,mell,2,main,\N,/ˈmʲel̪/,n.,\N,"From Proto-Celtic *melsā (“knuckle”), from Proto-Indo-European *mel- (“limb, joint”), see also Ancient Greek μέλος (mélos), Transalpine Gaulish placename Melodunum.","<div class=""oldirish bodytext"">ball, sphere</div>","ball, sphere","ball, sphere"
737,OIr.,mell,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">round protuberance</div>",round protuberance,round protuberance
738,OIr.,lenn,1,main,\N,/ˈl̠ʲen̪/,n.,\N,"From Proto-Celtic *linnā, of unclear origin.","<div class=""oldirish bodytext"">cloak</div>",cloak,cloak
739,OIr.,lenn,2,main,\N,/ˈl̠ʲen̪/,pron.,\N,\N,"<div class=""oldirish bodytext"">first-person plural of la</div>",first-person plural of la,first-person plural of la
740,OIr.,pell,\N,main,pill,\N,n.,\N,"From Latin pellis, from Proto-Indo-European *pel- (“skin”).","<div class=""oldirish bodytext"">pelt, skin, hide</div>","pelt, skin, hide","pelt, skin, hide"
740,OIr.,pell,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">rug, blanket</div>","rug, blanket","rug, blanket"
740,OIr.,pell,3,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">(by extension, pars pro toto) horse</div>","(by extension, pars pro toto) horse",horse
741,OIr.,és,\N,main,\N,/ˈeːs/,n.,\N,"From Proto-Celtic *ɸanssā, from Proto-Indo-European *peth₂- (“to spread out”).","<div class=""oldirish bodytext"">track, trace</div>","track, trace","track, trace"
742,OIr.,teine,\N,main,teined,/ˈt̠ʲe.nʲe/,n.,\N,"From Proto-Celtic *teɸnets (“fire”) (compare Cornish and Breton tan, Welsh tân).","<div class=""oldirish bodytext"">fire</div>",fire,fire
743,OIr.,muir,\N,main,moro,/ˈmuɾʲ/,n.,\N,From Proto-Celtic *mori.,"<div class=""oldirish bodytext"">sea</div>",sea,sea
744,OIr.,grian,\N,main,grïan,/ˈɡʲɾʲi.ən/,n.,\N,Cognate to Welsh graean. The exact shape of their common etymon is obscure; Proto-Celtic *griyano- is one reconstruction.,"<div class=""oldirish bodytext"">gravel</div>",gravel,gravel
744,OIr.,grian,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">sand</div>",sand,sand
744,OIr.,grian,3,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">bottom (of river)</div>",bottom (of river),bottom (of river)
744,OIr.,grian,4,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">floor (of sea)</div>",floor (of sea),floor (of sea)
745,OIr.,mér,\N,main,\N,/ˈmʲeːɾ/,n.,\N,"Possibly from Proto-Indo-European *mh₂ḱrós. Cognates include Latin macer, Ancient Greek μακρός (makrós) and Old English mæġer.","<div class=""oldirish bodytext"">finger</div>",finger,finger
746,OIr.,dath,\N,main,\N,/ˈd̪aθ/,n.,\N,\N,"<div class=""oldirish bodytext"">colour</div>",colour,colour
746,OIr.,dath,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">dye</div>",dye,dye
747,OIr.,eper,\N,main,·eper,\N,v.,\N,\N,"<div class=""oldirish bodytext"">first-person singular present subjunctive prototonic of as·beir</div>",first-person singular present subjunctive prototonic of as·beir,first-person singular present subjunctive prototonic of as·beir
747,OIr.,eper,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">alternative form of ·epir</div>",alternative form of ·epir,alternative form of ·epir
748,OIr.,ordu,\N,main,\N,\N,n.,\N,Unknown.,"<div class=""oldirish bodytext"">thumb</div>",thumb,thumb
749,OIr.,hó,1,main,\N,\N,conj.,\N,\N,"<div class=""oldirish bodytext"">alternative spelling of ó</div>",alternative spelling of ó,alternative spelling of ó
