id,match_str,lex_ref_link_id,lex_ref_gloss,lex_master_id,lex_master_gloss
7757,bam,26693,NULL,NULL,NULL
7760,blundus,27205,NULL,NULL,NULL
7767,dīum,28638,NULL,NULL,NULL
7769,trIcontis,28999,NULL,NULL,NULL
7782,eh,33834,NULL,NULL,NULL
7786,edulus,34339,NULL,NULL,NULL
7789,eh,34581,NULL,NULL,NULL
7796,egone,36073,NULL,NULL,NULL
7821,Iegius,45859,NULL,NULL,NULL
7883,mallum,59913,NULL,NULL,NULL
7885,nāsum,60398,NULL,NULL,NULL
7888,nūntium,61182,NULL,NULL,NULL
7892,pacunt,62348,NULL,NULL,NULL
7932,sacēna,69122,NULL,NULL,NULL
7939,būcerda,72552,NULL,NULL,NULL
7942,medullae,73989,NULL,NULL,NULL
7961,turgiō,80858,NULL,NULL,NULL
7974,uidua,83555,NULL,NULL,NULL
7990,ire,2361,NULL,NULL,NULL
8003,rŭdere,6213,NULL,NULL,NULL
8004,inquit,6506,NULL,NULL,NULL
8005,inquit,6517,NULL,NULL,NULL
8019,uiēre,8942,NULL,NULL,NULL
8025,dare,9990,NULL,NULL,NULL
8029,Vēdius,10245,NULL,NULL,NULL
8041,esu,12077,NULL,NULL,NULL
8079,abolēscere,20554,NULL,NULL,NULL
8080,albarus,20738,NULL,NULL,NULL
8081,Albia,20775,NULL,NULL,NULL
8082,ampla,20965,NULL,NULL,NULL
8092,Ζεὺς,25527,NULL,NULL,NULL
8107,Vēdiū̆s,28603,NULL,NULL,NULL
8125,eam,33917,NULL,NULL,NULL
8131,septeresmom,36944,NULL,NULL,NULL
8144,nēgi,41349,NULL,NULL,NULL
8153,aduenam,43989,NULL,NULL,NULL
8167,calliomarcus,46926,NULL,NULL,NULL
8192,cui,53520,NULL,NULL,NULL
8197,lēgāre,54358,NULL,NULL,NULL
8223,mūgilāre,60238,NULL,NULL,NULL
8256,rōbius,67690,NULL,NULL,NULL
8262,asignae,69124,NULL,NULL,NULL
8276,scramis,72395,NULL,NULL,NULL
8295,amptruō,81889,NULL,NULL,NULL
8308,uerbera,85151,NULL,NULL,NULL
8315,dedī,615,NULL,NULL,NULL
8324,mānsī,5178,NULL,NULL,NULL
8334,net,7166,NULL,NULL,NULL
8343,hemonem,10475,NULL,NULL,NULL
8346,escas,12098,NULL,NULL,NULL
8375,babaecalus,23492,NULL,NULL,NULL
8405,eunt,34602,NULL,NULL,NULL
8406,īuī,34608,NULL,NULL,NULL
8415,sumus,37075,NULL,NULL,NULL
8425,hemōnem,41226,NULL,NULL,NULL
8435,callus,46917,NULL,NULL,NULL
8436,ebulcalium,46928,NULL,NULL,NULL
8459,incolere,53184,NULL,NULL,NULL
8489,imbractum,59477,NULL,NULL,NULL
8533,sācris,67990,NULL,NULL,NULL
8546,concipilāre,71471,NULL,NULL,NULL
8561,surcellus,78887,NULL,NULL,NULL
8575,ueia,82995,NULL,NULL,NULL
