id,match_str,lex_ref_link_id,lex_ref_gloss,lex_master_id,lex_master_gloss,lemma
6422,iecinoris,14472,NULL,NULL,NULL,iecinor
6425,mūscerdae,14809,NULL,NULL,NULL,mūscerdus
6426,Cloelia,14935,NULL,NULL,NULL,cloelia
6430,breuissimus,15895,NULL,NULL,NULL,breuissus
6434,patrēs,16633,NULL,NULL,NULL,patrēs
6437,salis,17147,NULL,NULL,NULL,salum
6444,Praestita,18013,NULL,NULL,NULL,praesto
6453,īcō,19969,NULL,NULL,NULL,īcō
6456,ollīc,20425,NULL,NULL,NULL,ollex
6457,ālus,20886,NULL,NULL,NULL,ālus
6461,bambalō,23532,NULL,NULL,NULL,bambalis
6463,bālāre,23718,NULL,NULL,NULL,bālāi
6468,horctus,26285,NULL,NULL,NULL,horctus
6489,Furiae,33266,NULL,NULL,NULL,furia
6490,forēs,33723,NULL,NULL,NULL,forēs
6504,glēbō,38148,NULL,NULL,NULL,glēbō
6505,gelū,38519,NULL,NULL,NULL,gelū
6513,gnāruris,39197,NULL,NULL,NULL,gnārus
6520,gabulum,40927,NULL,NULL,NULL,gabulus
6524,offendere,45492,NULL,NULL,NULL,offendo
6528,camerus,46970,NULL,NULL,NULL,camerus
6530,caputrum,47092,NULL,NULL,NULL,caput
6546,cauellum,50846,NULL,NULL,NULL,cauellus
6550,coaxare,52580,NULL,NULL,NULL,coaxo
6552,quomque,52944,NULL,NULL,NULL,quomque
6561,pollūcēre,56276,NULL,NULL,NULL,pollūcēo
6562,interlūcāre,56286,NULL,NULL,NULL,interlūcār
6565,mattiuca,57037,NULL,NULL,NULL,mattiuca
6577,mutmut,60179,NULL,NULL,NULL,mutmo
6581,dēnicāles,60834,NULL,NULL,NULL,dēnicālis
6582,ēnectāre,60837,NULL,NULL,NULL,ēnectārio
6585,opiōn,61976,NULL,NULL,NULL,opiōn
6587,aureae,62205,NULL,NULL,NULL,aurea
6589,panceps,62413,NULL,NULL,NULL,panceps
6607,patres,65008,NULL,NULL,NULL,pater
6609,pippitāre,65083,NULL,NULL,NULL,pippitāeo
6636,cappō,71469,NULL,NULL,NULL,cappō
6645,Natisōn,74065,NULL,NULL,NULL,natisōn
6648,respondēre,75099,NULL,NULL,NULL,respondēo
6676,uassus,82223,NULL,NULL,NULL,uatior
6677,uassallus,82224,NULL,NULL,NULL,uassallus
6691,perseuērāre,85892,NULL,NULL,NULL,perseuērāor
6695,fārī,69,NULL,NULL,NULL,fāo
6697,figere,1149,NULL,NULL,NULL,figeo
6698,ioubē,2268,NULL,NULL,NULL,ioubē
6699,mulsī,2275,NULL,NULL,NULL,mulsīa
6700,ēmī,2419,NULL,NULL,NULL,ēmī
6701,mulsī,2984,NULL,NULL,NULL,mulsus
6702,momordī,2996,NULL,NULL,NULL,momor
6704,rēxī,3310,NULL,NULL,NULL,
6706,līnxī,4624,NULL,NULL,NULL,
6711,adnuō,5471,NULL,NULL,NULL,adnus
6713,pepugī,5826,NULL,NULL,NULL,pepugī
6722,tetigī,7798,NULL,NULL,NULL,tetigo
6731,conditum,10681,NULL,NULL,NULL,condo
6735,ōcissimus,11973,NULL,NULL,NULL,ōcisser
6740,iocineris,14473,NULL,NULL,NULL,iocinera
6741,iūgera,14539,NULL,NULL,NULL,iūgerum
6743,iugulus,14581,NULL,NULL,NULL,iugulus
6746,cane,15041,NULL,NULL,NULL,canis
6750,breuior,15887,NULL,NULL,NULL,breuis
6752,nāuem,16088,NULL,NULL,NULL,nāuio
6754,nepōtis,16138,NULL,NULL,NULL,nepōtus
6768,torrus,18842,NULL,NULL,NULL,torrus
6769,torrus,18843,NULL,NULL,NULL,torrus
6771,utrem,18910,NULL,NULL,NULL,utra
6773,indigitēs,19462,NULL,NULL,NULL,indigitēo
6777,altāre,20674,NULL,NULL,NULL,altār
6779,antidīre,21553,NULL,NULL,NULL,antidīrus
6781,uatillum,23162,NULL,NULL,NULL,uatillus
6783,Fabāria,24312,NULL,NULL,NULL,Fabāria
6789,horctis,26286,NULL,NULL,NULL,horco
6799,derbita,29926,NULL,NULL,NULL,derbio
6803,duae,30982,NULL,NULL,NULL,duo
6804,dui,31026,NULL,NULL,NULL,duus
6805,conditum,31372,NULL,NULL,NULL,condo
6806,effēta,31792,NULL,NULL,NULL,effēta
6815,ēmī,35498,NULL,NULL,NULL,ēmīo
6823,sunt,37077,NULL,NULL,NULL,sum
6824,siēs,37167,NULL,NULL,NULL,siēs
6830,grundiō,40775,NULL,NULL,NULL,grundiō
6837,heus,43431,NULL,NULL,NULL,heo
6840,iūgera,46138,NULL,NULL,NULL,iūgerum
6860,equirria,50291,NULL,NULL,NULL,equirria
6863,clepta,51388,NULL,NULL,NULL,cligo
6890,melca,58517,NULL,NULL,NULL,melca
6899,neriōsus,61050,NULL,NULL,NULL,neriōsus
6902,ōcissimus,61655,NULL,NULL,NULL,ōcisser
6907,osseum,62097,NULL,NULL,NULL,osseus
6909,expedīre,62608,NULL,NULL,NULL,expedīrem
6922,comparāre,64312,NULL,NULL,NULL,comparāe
6930,poste,65774,NULL,NULL,NULL,possus
6945,crocina,72228,NULL,NULL,NULL,crocinus
