lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
44358,mná,woman,463,mná,inflection of ben:,inflection of ben:; genitive singular
44634,bard,bard,360,bard,bard,bard
44788,bél,lip,1240,bél,lip,lip
44862,bó,cow,859,bó,"ox, cow","ox, cow"
44865,báo,cow,868,báo,genitive plural of bó,genitive plural of bó
44866,bó,cow,859,bó,"ox, cow","ox, cow"
45092,gessam,\N,5331,gessam,first-person plural present subjunctive conjunct of guidid,first-person plural present subjunctive conjunct of guidid
45094,guide,prayer,268,guide,verbal noun of guidid,verbal noun of guidid
45095,foigde,begging,5293,foigde,verbal noun of fo·guid: begging,verbal noun of fo·guid: begging
45330,guin,wound,4687,guin,verbal noun of gonaid: wounding,verbal noun of gonaid: wounding
45430,goirt,bitter,995,goirt,"bitter, sour, salt, sharp, keen","bitter, sour, salt, sharp, keen"
45487,grīs,fire,1356,grís,"heat, fire, embers, hot ashes","heat, fire, embers, hot ashes"
45712,hīcc,"healing, payment",5337,hícc,alternative spelling of ícc (“salvation”),alternative spelling of ícc (“salvation”)
45818,ess,waterfall,307,ess,"alternative form of es (“cataract, rapid”) m","alternative form of es (“cataract, rapid”) m"
46031,ōac,young,3794,oac,alternative form of óc (“young”),alternative form of óc (“young”)
46060,ōitiu,youth,4136,oítiu,youth,youth
46111,úain,"opportunity (i.e. right place = right time), leisure, time",1576,úain,alternative spelling of úainn,alternative spelling of úainn
46133,huisse,just,4372,huisse,alternative spelling of uisse,alternative spelling of uisse
46220,sissi,her,926,sissi,"you (nominative plural), ye","you (nominative plural), ye"
46703,cēcht,plow,6063,cécht,plough beam,plough beam
46900,cacht,"servant (f.), slave (f.)",3581,cacht,"person in bondage, slave","person in bondage, slave"
47146,carrac,"rock, cliff",5923,carrac,rock,rock
47249,cathir,city,3104,cathir,"alternative form of cathair (“stone enclosure, fortress, castle; dwelling; monastic settlement, enclosure; monastery, convent; (fortified) city”)","alternative form of cathair (“stone enclosure, fortress, castle; dwelling; monastic settlement, enclosure; monastery, convent; (fortified) city”)"
47276,cath,"battle; troop, band",1309,cath,"battle, fight","battle, fight"
47731,cath,wise,1309,cath,"battle, fight","battle, fight"
47909,clār,"board, plank",1841,clár,"board, plank","board, plank"
48039,caile,spot,1921,caile,"serving-girl, maid (sometimes pejorative)","serving-girl, maid (sometimes pejorative)"
48115,cailech,rooster,1655,cailech,rooster,rooster
48677,cnocc,tumulus,1471,cnocc,hill,hill
49784,crín,withered,3595,crín,"withered, decayed","withered, decayed"
49823,cerd,"art, craft; artist, poet",1690,cerd,"craft, skill","craft, skill"
49860,cride,"heart, middle",1161,cride,heart,heart
50766,accobor,wish,5304,accobor,alternative form of accobar,alternative form of accobar
51092,clam,leper,401,clam,leper,leper
51262,cloth,fame,123,cloth,"fame, honor","fame, honor"
51309,clū,fame,2557,clú,fame (state of being famous),fame (state of being famous)
51318,cluas,ear,1613,clúas,ear,ear
51542,cob,victory,254,cob,victory,(poetic) victory
51568,cōil,"thin, narrow",5814,coíl,"thin, slender, narrow","thin, slender, narrow"
51710,cnāim,"leg, bone",1615,cnáim,bone,bone
51937,crích,"end, boundary, furrow",2695,crích,"boundary, border","boundary, border"
52027,crūaid,"hard, firm",5952,crúaid,hard,hard
52271,cuil,culex,2156,cuil,fly,fly
52608,crann,tree,1334,crann,tree,tree
52759,cīall,understanding,2520,cíall,"sense, intelligence, mind (of persons)","sense, intelligence, mind (of persons)"
52991,cēssad,passi??,5028,céssad,verbal noun of césaid,verbal noun of césaid
53019,cruth,form,1842,cruth,"form, shape","form, shape"
53142,cethramad,\N,3158,cethramad,fourth,fourth
53165,cethorcho,four hundred,3166,cethorcho,forty,forty
53261,nech,"someone; any, anyone",3708,nech,"someone, anyone, (after a negative particle) no one","someone, anyone, (after a negative particle) no one"
53277,cuin,when?,1379,cuin,when,when
53524,cruim,worm,1157,cruim,worm,worm
53585,līid,accuses,3350,liid,"to accuse, to charge","to accuse, to charge"
53851,lōg,"wage, price",1022,lóg,"value, equivalent, worth","value, equivalent, worth"
53859,lour,enough,980,lour,"enough, sufficient","enough, sufficient"
54007,dīlgend,destruction,4550,dílgend,"verbal noun of do·lega: destruction, extermination","verbal noun of do·lega: destruction, extermination"
54017,dílgud,forgiveness,4896,dílgud,verbal noun of do·lugai (“to forgive”),verbal noun of do·lugai (“to forgive”)
54123,lesc,"sluggish, lazy",5835,lesc,lazy,lazy
